('Frolovo', 49.7653307, 43.66498787031601)
('Novokuybyshevsk', 53.099243, 49.948364)
('Birsk', 55.4206774, 55.5407179)
('Sovetsk', 55.0809688, 21.8882673)
('Magadan', 63.5515028, 154.014726)
('Belogorsk', 50.921326, 128.47287)
('Bobrovskiy', 53.4104503, 34.6777769)
('Vlasikha', 53.2982076, 83.5778361)
('Spassk-Dalny', 44.5978939, 132.8355700048992)
('Aksay', 47.268696, 39.861362)
('Michurinsk', 52.8946613, 40.5071721)
('Ozersk', 55.76046, 60.705101)
('Nizhnekamsk', 55.6412879, 51.8160376)
('Monchegorsk', 67.939903, 32.931679)
('Kungur', 57.428844, 56.944328)
('Krasnouralsk', 58.357063, 60.037445)
('Birobidzhan', 48.79367455, 132.91241500716188)
('Pushchino', 54.8347213, 37.6139685)
('Dubovoe', 50.9638912, 43.6176566)
('Bavly', 54.4031069, 53.2356367)
('Shakhty', 47.7119167, 40.2115699)
('Oktyabrsky', 54.4809722, 53.4660062)
('Gudermes', 43.3486103, 46.095945)
('Yelets', 52.6219865, 38.5003298)
('Belorechensk', 44.7614149, 39.8712943)
('Megion', 61.035404, 76.108215)
('Тарасовка', 48.206291, 23.817329)
('Prokhladny', 43.7590017, 44.0103981)
('Urus-Martan', 43.133102, 45.538425)
('Usolye-Sibirskoye', 52.7512013, 103.6621625)
('Sarapul', 56.4811552, 53.782692709252615)
('Safonovo', 55.1084278, 33.2376513)
('Kropotkin', 45.4344413, 40.5750274)
('Naryan-Mar', 67.6380432, 53.042812728629485)
('Argun', 43.2950455, 45.8688918)
('Priozersk', 46.03267555, 73.64744052431413)
('Lenina', 48.4351608, 39.1489049)
('Goryachevodsky', 44.0290999, 43.0950701)
('Torzhok', 57.040794, 34.973373)
('Lodeynoye Pole', 60.7339323, 33.5457731)
('Ust-Labinsk', 45.2178027, 39.6896725)
('Kugesi', 56.032483400000004, 47.3038270091042)
('Kushchyovskaya', 46.5344586, 39.54993853341802)
('Otradny', 53.376175, 51.348053)
('Kostomuksha', 64.5873013, 30.5969076)
('8756', 47.208048504531725, 14.505830853474318)
('Rostov', 47.2216548, 39.7096061)
('Verkhnyaya Salda', 58.043598, 60.554832)
('Ruzayevka', 54.058735, 44.954391)
('Kurovskoye', 55.5771391, 38.9225824)
('Chebarkul', 54.977795, 60.37009)
('Agoi', 44.1454417, 39.0380211)
('Ishimbay', 53.4546454, 56.0439119)
('83709', 43.56880500775389, -116.30208710712107)
('Shatura', 55.578403, 39.5437584)
('Slavgorod', 52.9892428, 78.646251)
('Minusinsk', 53.700325, 91.697235)
('Votkinsk', 57.052505, 53.990612)
('Elektrougli', 55.7184467, 38.2228192)
('Tynda', 55.149694, 124.7375884)
('Mozhga', 56.4426833, 52.2138722)
('Revda', 56.8000651, 59.9086688)
('Katav-Ivanovsk', 54.753479, 58.205784)
('Petrovskoye', 58.146729, 42.185135)
('Shchyokino', 54.004465, 37.5179079)
('Kuznetsk', 53.112514, 46.600727)
('Plast', 54.369812, 60.807091)
('Chistopol', 55.3714831, 50.6367311)
('Starnikovo', 55.3686705, 38.404618599237594)
('75709', 32.31298225539568, -95.39990469568346)
('Anadyr', 64.7316875, 177.5060925)
('Beslan', 43.1875572, 44.5375689)
('Zelenodolsk', 55.8477605, 48.5097031)
('Dagestanskie Ogni', 42.1152434, 48.1864201)
('Kyshtym', 55.7099215, 60.5511275)
('Poronaysk', 49.2216366, 143.1015759)
('Kamensk-Shakhtinsky', 48.27551875, 40.2318349278581)
('Yelizovo', 53.1864972, 158.3836712)
('Temryuk', 45.2751663, 37.3905481)
('Yalutorovsk', 56.654934, 66.312752)
